OSIS TOTAL PASS TOTAL FAIL 01PASS 02PASS 03PASS 04PASS 05PASS 06PASS 07PASS 08PASS 09PASS 010PASS 010FAIL 010#lin 012PASS 012FAIL 012#lin 013PASS 013FAIL 013#lin 014PASS 014FAIL 014#lin
MAX         139 28 27 8 15 7 20 10 10 6 8 6 6 7 3 3 4 6 4 7 15 15 16
MEDIAN         116 7 27 8 15 6 20 10 10 6 8 6 0 7 2 0 4 4 0 7 0 0 1
MEAN         109 8 26 8 13 5 17 8 9 5 6 4 1 5 2 1 3 3 0 5 2 3 6
209314327 139 2 27 8 15 6 20 10 10 6 8 6 0 7 2 1 4 6 0 7 15 0 16
214521304 138 4 27 8 15 7 20 10 10 6 8 6 0 7 3 0 4 6 0 7 12 3 16
213149834 138 3 27 8 14 7 20 10 10 6 8 6 0 7 3 0 4 6 0 7 13 2 16
214269698 136 2 27 8 12 6 20 10 10 6 8 6 0 7 3 0 4 6 0 7 14 1 16
208652602 134 2 27 8 15 7 20 10 10 6 8 6 0 7 3 0 4 0 0 1 14 1 16
211521372 128 13 27 8 15 6 20 10 10 6 8 6 0 7 3 0 4 6 0 7 3 12 16
209180272 128 13 27 8 15 6 20 10 10 6 8 6 0 7 1 2 4 5 1 7 6 9 16
209908870 126 4 27 8 15 7 20 10 10 6 8 0 0 1 3 0 4 0 0 1 12 3 16
209152545 126 16 27 8 15 7 20 10 10 6 8 6 0 7 3 0 4 6 0 7 0 15 16
214700411 126 16 27 8 15 7 20 10 10 6 8 6 0 7 3 0 4 6 0 7 0 15 16
209062025 126 16 27 8 15 7 20 10 10 6 8 6 0 7 3 0 4 6 0 7 0 15 16
219403144 125 16 26 8 15 7 20 10 10 6 8 6 0 7 3 0 4 6 0 7 0 15 16
208709410 125 1 27 8 15 6 20 10 10 6 8 6 0 7 3 0 4 6 0 7 0 0 1
209729425 125 1 26 8 15 7 20 10 10 6 8 6 0 7 3 0 4 6 0 7 0 0 0
214586992 124 2 27 8 15 6 20 10 10 6 7 6 0 7 3 0 4 6 0 7 0 0 0
208974055 123 16 27 8 15 6 20 10 10 6 8 4 0 5 3 0 4 6 0 7 0 15 16
